lon,lat,owner,watershed,type,form
-71.09822987640,42.43557006560,CITY-ROW,IN-163,STORM WATER INLET,
-71.09849568220,42.43493937970,CITY-ROW,IN-164,STORM WATER INLET,
-71.09846929890,42.43500277220,CITY-ROW,IN-165,STORM WATER INLET,
-71.09864298650,42.43497276750,CITY-ROW,IN-166,STORM WATER INLET,
-71.09850730170,42.43440889590,CITY-ROW,IN-167,STORM WATER INLET,
-71.09842270750,42.43438683050,CITY-ROW,IN-168,STORM WATER INLET,
-71.09878969140,42.43378168620,CITY-ROW,IN-169,STORM WATER INLET,
-71.09889818400,42.43333399130,CITY-ROW,IN-170,STORM WATER INLET,
-71.09898138580,42.43335561670,CITY-ROW,IN-171,STORM WATER INLET,
-71.09921629380,42.43283724100,CITY-ROW,IN-172,STORM WATER INLET,
-71.10174152580,42.43931739280,CITY-ROW,IN-173,STORM WATER INLET,
-71.09666163050,42.43817583830,CITY-ROW,IN-174,STORM WATER INLET,
-71.09575565430,42.43848057780,CITY-ROW,IN-175,STORM WATER INLET,
-71.09553485200,42.43840809670,CITY-ROW,IN-176,STORM WATER INLET,
-71.09591365650,42.43861121530,CITY-ROW,IN-177,STORM WATER INLET,
-71.09632858840,42.43861534260,CITY-ROW,IN-178,STORM WATER INLET,
-71.09740194860,42.43873522630,CITY-ROW,IN-179,STORM WATER INLET,
-71.09744884600,42.43865218710,CITY-ROW,IN-180,STORM WATER INLET,
-71.09813007270,42.43866950380,CITY-ROW,IN-181,STORM WATER INLET,
-71.09453594540,42.43844965320,CITY-ROW,IN-182,STORM WATER INLET,
-71.09363275220,42.43860294390,CITY-ROW,IN-183,STORM WATER INLET,
-71.09356151710,42.43866672070,CITY-ROW,IN-184,STORM WATER INLET,
-71.13035098930,42.42857846590,CITY-ROW,IN-185,STORM WATER INLET,
-71.12983231010,42.42985555410,CITY-ROW,IN-186,STORM WATER INLET,
-71.13110252950,42.43005112770,CITY-ROW,IN-187,STORM WATER INLET,
-71.13116371160,42.43012727070,CITY-ROW,IN-188,STORM WATER INLET,
-71.13175718240,42.42969542020,CITY-ROW,IN-189,STORM WATER INLET,
-71.13180314990,42.42977180580,CITY-ROW,IN-190,STORM WATER INLET,
-71.13215987900,42.42804288860,CITY-ROW,IN-191,STORM WATER INLET,
-71.13206521430,42.42780200100,CITY-ROW,IN-192,STORM WATER INLET,
-71.13217789910,42.42777634770,CITY-ROW,IN-193,STORM WATER INLET,
-71.12902786840,42.42578154660,CITY-ROW,IN-194,STORM WATER INLET,
-71.12905844960,42.42546085630,CITY-ROW,IN-195,STORM WATER INLET,
-71.12897239310,42.42545503420,CITY-ROW,IN-196,STORM WATER INLET,
-71.13178772910,42.42730251240,CITY-ROW,IN-197,STORM WATER INLET,
-71.13160082630,42.42727300040,CITY-ROW,IN-198,STORM WATER INLET,
-71.13037276410,42.42778916800,CITY-ROW,IN-199,STORM WATER INLET,
-71.13031999850,42.42762569640,CITY-ROW,IN-200,STORM WATER INLET,
-71.13012972670,42.42759228020,CITY-ROW,IN-201,STORM WATER INLET,
-71.13100867620,42.42729634150,CITY-ROW,IN-202,STORM WATER INLET,
-71.13104151470,42.42703343660,CITY-ROW,IN-203,STORM WATER INLET,
-71.13094488330,42.42698254690,CITY-ROW,IN-204,STORM WATER INLET,
-71.13331084270,42.42611737520,CITY-ROW,IN-205,STORM WATER INLET,
-71.13342186160,42.42609382380,CITY-ROW,IN-206,STORM WATER INLET,
-71.13338176350,42.42630218400,CITY-ROW,IN-207,STORM WATER INLET,
